Years,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Januari,156.9,253.3,-,200.7,-,306.8,-,164,148.2,332.2,-,175.7,273.1,344.8,158.8,160.8,215.9,215.9,247,369,106,144.4,132.8
Februari,128.2,157.9,-,38.9,-,220.4,-,196.2,161.5,320.3,-,309.1,197.1,193,99.3,138.6,97.7,97.7,91.8,148,109.1,152.8,61.5
Maret,284.4,417.3,-,225.4,-,260.3,-,278.9,157.2,368.4,-,284.3,318.7,197.8,317.6,88.1,154.1,154.1,135.5,274,273.1,232.1,90.1
April,190.9,135.7,-,336.3,-,339.7,-,309.1,163.7,331.6,-,337.2,126.1,343.7,369.2,343.3,180.2,180.2,176.5,256,274.9,303.3,77.1
Mei,130,244.9,-,199.4,-,112.3,-,186.4,222.6,388.6,-,233.5,189.7,213.5,224.6,309.3,296.3,296.3,224.7,117,181,176.6,272.6
Juni,180.6,79.8,-,98.6,-,213.4,-,41.2,320.1,95.2,-,161,210.5,259.2,202,421.8,197,197,172.6,141,159.2,229.8,323.9
Juli,76.4,44.5,-,271,-,278.5,-,157.3,258.7,238.1,-,145.2,49.5,162.7,162.7,160.9,136.9,136.9,148,212,309.1,71.8,125.9
Agustus,32.7,95.6,-,145.4,-,132.9,-,122.7,144.1,124.2,-,90.2,81.3,57.6,99.3,249.7,47.9,47.9,228.7,350,141.8,45,165.2
September,73.5,273.8,-,94.1,-,182.6,-,98.5,202,131.9,-,256,81.6,-,226.4,100,127.4,127.4,282.5,244,465.9,134.3,128.2
Oktober,140.1,220.9,-,339.6,-,181.4,-,232.3,235.9,218.4,-,223.1,111.3,73.2,174.5,152,151.9,151.9,170,265,283.8,110.7,324.7
November,101.7,203.7,-,304.5,-,84.6,-,165.3,206.8,196.7,-,363.1,300,60.9,291.9,218.8,126.7,126.7,185.3,282,286.4,282.8,136.9
Desember,181.5,217.9,-,296.5,-,141.2,-,211.3,224,244.3,-,275.7,448.6,191.4,356.5,223.1,169.5,169.5,117.9,231,129.8,158.7,308.6
